time_sec,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch
2.533333,-0.03383372,-1.171795,0.1745329,-1.239799,0.5235988,-0.2792527,0.04344628,-1.255865,-0.08035567,-1.287025,-0.4389575,-0.174533
2.566667,-0.03421339,-1.171975,0.1745329,-1.243276,0.5235988,-0.2792527,0.04339568,-1.255865,-0.07988554,-1.286978,-0.437098,-0.174533
2.6,-0.03453575,-1.172103,0.1745329,-1.24723,0.5235993,-0.2792527,0.04305852,-1.255865,-0.07950377,-1.286963,-0.4363324,-0.174533
2.633333,-0.03480469,-1.172184,0.1745329,-1.251679,0.5235993,-0.2792527,0.04248594,-1.255865,-0.07920584,-1.286984,-0.4363324,-0.174533
2.666667,-0.03502405,-1.172222,0.1745329,-1.256637,0.5235993,-0.2792527,0.041728,-1.255865,-0.07898734,-1.287044,-0.4363324,-0.174533
2.7,-0.03519771,-1.172219,0.1745329,-1.261659,0.5235993,-0.2792527,0.04083531,-1.255865,-0.07884379,-1.287145,-0.4363324,-0.174533
2.733333,-0.03532955,-1.172179,0.1745329,-1.266297,0.5235993,-0.2792527,0.03985847,-1.255865,-0.07877073,-1.287291,-0.4363324,-0.174533
2.766667,-0.03542342,-1.172104,0.1745329,-1.270565,0.5235993,-0.2792527,0.03884806,-1.255865,-0.0787637,-1.287483,-0.4363324,-0.174533
2.8,-0.03548319,-1.172,0.1745329,-1.274475,0.5235993,-0.2792527,0.03785417,-1.255865,-0.07881824,-1.287726,-0.4363325,-0.174533
2.833333,-0.03551274,-1.171868,0.1745329,-1.278042,0.5235993,-0.2792527,0.03692792,-1.255865,-0.0789299,-1.288021,-0.4363325,-0.174533
2.866667,-0.03551593,-1.171712,0.1745329,-1.281279,0.5235993,-0.2792527,0.03611939,-1.255865,-0.0790942,-1.288372,-0.4363325,-0.174533
2.9,-0.03549663,-1.171535,0.1745329,-1.284199,0.5235993,-0.2792527,0.03547917,-1.255865,-0.07930669,-1.288781,-0.4363325,-0.174533
2.933333,-0.03545871,-1.171341,0.1745329,-1.286817,0.5235993,-0.2792527,0.03505839,-1.255865,-0.07956291,-1.289251,-0.4363325,-0.174533
2.966667,-0.03540605,-1.171134,0.1745329,-1.289145,0.5235993,-0.2792527,0.03490658,-1.255865,-0.0798584,-1.289785,-0.4363325,-0.174533
3,-0.0353425,-1.170915,0.1745329,-1.291197,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08018871,-1.290386,-0.4363325,-0.174533
3.033333,-0.03527194,-1.170689,0.1745329,-1.292988,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08054935,-1.291057,-0.4363325,-0.174533
3.066667,-0.03519822,-1.17046,0.1745329,-1.294529,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08093589,-1.2918,-0.4363325,-0.174533
3.1,-0.03512523,-1.17023,0.1745329,-1.295835,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08134386,-1.292618,-0.4363325,-0.174533
